time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-03-05T12:06:36.460Z,37.0837,-97.5027,6.92,2.6,ml,,115,0.073,0.39,us,us10008746,2017-03-17T07:57:31.235Z,"10km ENE of Caldwell, Kansas",earthquake,1.2,3.4,0.056,42,reviewed,ismp,us
2017-03-05T12:04:21.470Z,35.5938,-96.8855,5,2.5,mb_lg,,58,0.147,0.29,us,us10008743,2017-03-17T07:56:11.040Z,"10km N of Meeker, Oklahoma",earthquake,1.6,2,0.117,19,reviewed,us,us
2017-03-05T11:33:33.900Z,35.901,-98.2881,5,2.9,ml,,48,,0.63,us,us1000873y,2017-03-17T07:49:37.040Z,"12km ENE of Watonga, Oklahoma",earthquake,1.3,5.8,,,reviewed,tul,tul
2017-03-05T03:14:31.600Z,36.4571,-98.774,5.217,2.5,ml,,48,,0.44,us,us1000871y,2017-03-30T02:38:28.040Z,"33km NW of Fairview, Oklahoma",earthquake,5.8,7.3,,,reviewed,tul,tul
2017-03-04T19:48:20.400Z,36.8216,-97.6087,8.133,2.7,ml,,71,,0.21,us,us10008703,2017-03-15T05:42:46.097Z,"11km E of Medford, Oklahoma",earthquake,1.2,4.9,,,reviewed,tul,tul
2017-03-04T17:52:52.900Z,36.8378,-98.252,5.525,2.8,ml,,133,,0.57,us,us100086zm,2017-03-16T14:46:10.040Z,"13km NE of Cherokee, Oklahoma",earthquake,1,2.4,,,reviewed,tul,tul
2017-03-04T16:08:38.100Z,35.6692,-97.3932,6.825,3,ml,,26,,0.24,us,us100086zd,2017-03-28T16:48:35.390Z,"7km ENE of Edmond, Oklahoma",earthquake,1.2,1.9,,,reviewed,tul,tul
2017-03-04T02:07:34.200Z,35.807,-97.4214,7.674,2.5,ml,,25,,0.28,us,us100086wy,2017-03-23T23:25:17.040Z,"7km S of Guthrie, Oklahoma",earthquake,1.3,7,,,reviewed,tul,tul
2017-03-04T00:53:33.900Z,35.7978,-96.6466,6.054,2.7,ml,,95,,0.37,us,us100086wr,2017-03-27T00:54:13.040Z,"5km N of Stroud, Oklahoma",earthquake,1.2,6,,,reviewed,tul,tul
2017-03-03T14:33:27.200Z,36.8828,-97.9238,5.233,2.7,ml,,82,,0.53,us,us100086qj,2017-03-13T08:41:08.040Z,"18km WNW of Medford, Oklahoma",earthquake,2.3,6.6,,,reviewed,tul,tul
2017-03-03T02:38:27.000Z,36.6646,-99.1271,5.832,3.3,ml,,146,,0.75,us,us100086n3,2017-03-11T00:09:41.040Z,"25km NNE of Mooreland, Oklahoma",earthquake,2.7,7.5,,,reviewed,tul,tul
2017-03-02T20:27:29.000Z,36.5278,-98.9756,6.208,3.5,ml,,52,,0.21,us,us100086kz,2017-03-13T18:50:13.289Z,"22km ENE of Mooreland, Oklahoma",earthquake,3.2,4.3,,,reviewed,tul,tul
2017-03-02T16:43:39.800Z,36.5359,-98.9643,5.741,3.3,ml,,62,,0.53,us,us100086ia,2017-03-14T18:57:45.040Z,"24km ENE of Mooreland, Oklahoma",earthquake,1.3,2.1,,,reviewed,tul,tul
2017-03-02T01:10:55.900Z,36.5327,-98.9744,6.022,2.8,ml,,71,,0.57,us,us100086eq,2017-03-28T02:23:46.040Z,"23km ENE of Mooreland, Oklahoma",earthquake,3.6,6.8,,,reviewed,tul,tul
2017-03-02T00:30:40.600Z,35.8428,-96.6459,5.952,3.3,ml,,48,,0.26,us,us100086el,2017-03-15T23:19:50.533Z,"10km N of Stroud, Oklahoma",earthquake,2.6,5.3,,,reviewed,tul,tul
2017-03-01T19:49:55.300Z,36.4829,-98.763,4.768,3.1,ml,,43,,0.17,us,us1000862f,2017-03-13T18:13:26.591Z,"34km NW of Fairview, Oklahoma",earthquake,1.1,4.5,,,reviewed,tul,tul
2017-03-01T10:29:52.100Z,36.4436,-98.7803,5.953,2.6,ml,,67,,0.38,us,us100085xl,2017-04-01T05:17:00.040Z,"33km NW of Fairview, Oklahoma",earthquake,2.9,7.4,,,reviewed,tul,tul
2017-03-01T09:16:20.600Z,36.4475,-98.7805,6.845,2.7,ml,,66,,0.39,us,us100085xe,2017-04-01T06:26:19.040Z,"33km NW of Fairview, Oklahoma",earthquake,1.4,6.9,,,reviewed,tul,tul
